collection,id,payload_json
tasks,task-doing-01,"{""id"":""task-doing-01"",""title"":""Blasklist spam"",""project"":"""",""notes"":"""",""status"":""active"",""priority"":""normal"",""dueAt"":"""",""reminderAt"":"""",""checklist"":[],""createdAt"":1778518995000,""updatedAt"":1778518995000,""notified"":{}}"
tasks,task-doing-02,"{""id"":""task-doing-02"",""title"":""Tell the team about console Sign on Data"",""project"":"""",""notes"":"""",""status"":""active"",""priority"":""normal"",""dueAt"":"""",""reminderAt"":"""",""checklist"":[],""createdAt"":1778518994000,""updatedAt"":1778518994000,""notified"":{}}"
tasks,task-doing-03,"{""id"":""task-doing-03"",""title"":""To-Do List, Week of May 10th"",""project"":"""",""notes"":"""",""status"":""active"",""priority"":""normal"",""dueAt"":"""",""reminderAt"":"""",""checklist"":[],""createdAt"":1778518993000,""updatedAt"":1778518993000,""notified"":{}}"
tasks,task-doing-04,"{""id"":""task-doing-04"",""title"":""Joseph 1:1"",""project"":"""",""notes"":"""",""status"":""active"",""priority"":""normal"",""dueAt"":"""",""reminderAt"":"""",""checklist"":[],""createdAt"":1778518992000,""updatedAt"":1778518992000,""notified"":{}}"
tasks,task-doing-05,"{""id"":""task-doing-05"",""title"":""Summer OKRs"",""project"":"""",""notes"":"""",""status"":""active"",""priority"":""normal"",""dueAt"":"""",""reminderAt"":"""",""checklist"":[],""createdAt"":1778518991000,""updatedAt"":1778518991000,""notified"":{}}"
tasks,task-doing-06,"{""id"":""task-doing-06"",""title"":""Make a 'here's what Maxprep does\"" list"",""project"":"""",""notes"":"""",""status"":""active"",""priority"":""normal"",""dueAt"":"""",""reminderAt"":"""",""checklist"":[],""createdAt"":1778518990000,""updatedAt"":1778518990000,""notified"":{}}"
tasks,task-doing-07,"{""id"":""task-doing-07"",""title"":""Make sure that everyone has Stripe access - so people can do the refund policy correctly."",""project"":"""",""notes"":"""",""status"":""active"",""priority"":""normal"",""dueAt"":"""",""reminderAt"":"""",""checklist"":[],""createdAt"":1778518989000,""updatedAt"":1778518989000,""notified"":{}}"
tasks,task-doing-08,"{""id"":""task-doing-08"",""title"":""Ask Logan to change FST password reset so we don't send link"",""project"":"""",""notes"":"""",""status"":""active"",""priority"":""normal"",""dueAt"":"""",""reminderAt"":"""",""checklist"":[],""createdAt"":1778518988000,""updatedAt"":1778518988000,""notified"":{}}"
tasks,task-doing-09,"{""id"":""task-doing-09"",""title"":""Mickey 1:1"",""project"":"""",""notes"":"""",""status"":""active"",""priority"":""normal"",""dueAt"":"""",""reminderAt"":"""",""checklist"":[],""createdAt"":1778518987000,""updatedAt"":1778518987000,""notified"":{}}"
tasks,task-doing-10,"{""id"":""task-doing-10"",""title"":""Johnny 1:1"",""project"":"""",""notes"":"""",""status"":""active"",""priority"":""normal"",""dueAt"":"""",""reminderAt"":"""",""checklist"":[],""createdAt"":1778518986000,""updatedAt"":1778518986000,""notified"":{}}"
tasks,task-doing-11,"{""id"":""task-doing-11"",""title"":""Luke 1:1"",""project"":"""",""notes"":"""",""status"":""active"",""priority"":""normal"",""dueAt"":"""",""reminderAt"":"""",""checklist"":[],""createdAt"":1778518985000,""updatedAt"":1778518985000,""notified"":{}}"
tasks,task-doing-12,"{""id"":""task-doing-12"",""title"":""Johnny's Calibration Project"",""project"":"""",""notes"":"""",""status"":""active"",""priority"":""normal"",""dueAt"":"""",""reminderAt"":"""",""checklist"":[],""createdAt"":1778518984000,""updatedAt"":1778518984000,""notified"":{}}"
tasks,task-doing-13,"{""id"":""task-doing-13"",""title"":""Review FST escalations and let the team know what they can do now. Make an SOP."",""project"":"""",""notes"":"""",""status"":""active"",""priority"":""normal"",""dueAt"":"""",""reminderAt"":"""",""checklist"":[],""createdAt"":1778518983000,""updatedAt"":1778518983000,""notified"":{}}"
tasks,task-doing-14,"{""id"":""task-doing-14"",""title"":""Ask Grffin about a ChatGPT - Salesforce integration"",""project"":"""",""notes"":"""",""status"":""active"",""priority"":""normal"",""dueAt"":"""",""reminderAt"":"""",""checklist"":[],""createdAt"":1778518982000,""updatedAt"":1778518982000,""notified"":{}}"
tasks,task-doing-15,"{""id"":""task-doing-15"",""title"":""Get everyone stripe access"",""project"":"""",""notes"":"""",""status"":""active"",""priority"":""normal"",""dueAt"":"""",""reminderAt"":"""",""checklist"":[],""createdAt"":1778518981000,""updatedAt"":1778518981000,""notified"":{}}"
tasks,task-doing-16,"{""id"":""task-doing-16"",""title"":""FST Escalations Discussion"",""project"":"""",""notes"":"""",""status"":""active"",""priority"":""normal"",""dueAt"":"""",""reminderAt"":"""",""checklist"":[],""createdAt"":1778518980000,""updatedAt"":1778518980000,""notified"":{}}"
tasks,task-doing-17,"{""id"":""task-doing-17"",""title"":""Chat with Micahel about behavior in 1:1"",""project"":"""",""notes"":"""",""status"":""active"",""priority"":""normal"",""dueAt"":"""",""reminderAt"":"""",""checklist"":[],""createdAt"":1778518979000,""updatedAt"":1778518979000,""notified"":{}}"
statuses,active,"{""id"":""active"",""label"":""Doing""}"
statuses,done,"{""id"":""done"",""label"":""Done""}"
todoLists,home-todo,"{""id"":""home-todo"",""title"":""To-do list Week of May 11th"",""mode"":""checklist"",""notes"":"""",""items"":[{""id"":""todo-item-01df53c5-929a-459d-8037-4fa5cf53e6c3"",""text"":""Make sure that Johnny got ES installed for everyone"",""done"":false}],""createdAt"":1778518655684,""updatedAt"":1778596170928}"
